               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.033841,           0.0085491,           0.0023689,             0.97894,             0.88065,             0.91072,             0.58577,            0.034715,           0.0083725,           0.0020045,           0.0083511,           0.0083511,           0.0083511
                  92,             0.03404,           0.0085026,            0.002244,             0.97866,             0.88021,             0.91102,             0.58433,            0.034683,           0.0083641,           0.0019995,           0.0083171,           0.0083171,           0.0083171
                  93,            0.033868,           0.0085057,           0.0022886,             0.97774,             0.88034,             0.91103,             0.58319,            0.034703,            0.008352,            0.001993,           0.0082829,           0.0082829,           0.0082829
                  94,            0.034092,           0.0085007,           0.0021865,             0.97707,             0.88048,             0.91111,             0.58346,            0.034727,           0.0083489,             0.00199,           0.0082483,           0.0082483,           0.0082483
                  95,            0.033693,           0.0084882,            0.002263,             0.97632,             0.88071,             0.91118,             0.58202,            0.034734,           0.0083468,           0.0019823,           0.0082136,           0.0082136,           0.0082136
                  96,            0.034131,           0.0085086,            0.002204,             0.97565,              0.8806,             0.91123,             0.58317,            0.034746,           0.0083443,           0.0019783,           0.0081786,           0.0081786,           0.0081786
                  97,            0.033254,           0.0083197,           0.0021365,             0.97378,              0.8807,             0.90965,             0.57999,            0.034727,           0.0083391,           0.0019804,           0.0081433,           0.0081433,           0.0081433
                  98,            0.033493,           0.0084473,            0.002233,              0.9738,             0.88058,             0.90971,             0.57886,             0.03471,           0.0083526,           0.0019771,           0.0081078,           0.0081078,           0.0081078
                  99,            0.033728,           0.0083606,           0.0022262,              0.9735,             0.88046,             0.91019,             0.58158,            0.034684,           0.0083252,           0.0019762,           0.0080721,           0.0080721,           0.0080721
                 100,            0.033726,           0.0083183,           0.0021622,             0.97767,             0.87815,             0.91012,             0.58788,            0.034652,           0.0083368,           0.0019845,           0.0080362,           0.0080362,           0.0080362
                 101,            0.033365,           0.0083706,           0.0021934,             0.97783,             0.87815,             0.91007,             0.58164,            0.034654,            0.008341,           0.0019827,               0.008,               0.008,               0.008
                 102,            0.033686,           0.0082831,           0.0021923,             0.97454,             0.88017,             0.91113,             0.58209,            0.034641,            0.008326,           0.0019781,           0.0079636,           0.0079636,           0.0079636
                 103,             0.03352,           0.0084004,           0.0021894,             0.97492,             0.87991,             0.91179,              0.5824,            0.034658,           0.0083087,           0.0019683,            0.007927,            0.007927,            0.007927
                 104,            0.033124,           0.0082848,           0.0020927,             0.97485,             0.87989,             0.91189,             0.58279,            0.034665,           0.0083224,           0.0019588,           0.0078902,           0.0078902,           0.0078902
                 105,            0.033338,           0.0084043,           0.0021568,             0.97525,             0.87989,             0.91193,             0.58359,             0.03464,           0.0083069,           0.0019555,           0.0078532,           0.0078532,           0.0078532
                 106,            0.032984,           0.0083113,           0.0021909,             0.97564,             0.87989,             0.91194,             0.59001,            0.034633,            0.008325,           0.0019537,            0.007816,            0.007816,            0.007816
                 107,            0.033332,           0.0083115,           0.0021835,             0.97626,             0.87989,             0.91198,             0.59009,            0.034621,            0.008332,           0.0019507,           0.0077785,           0.0077785,           0.0077785
                 108,             0.03309,           0.0083183,           0.0020921,             0.97604,             0.87992,             0.91205,             0.58965,             0.03464,           0.0083164,           0.0019402,           0.0077409,           0.0077409,           0.0077409
                 109,            0.033035,           0.0083859,           0.0020599,             0.97577,             0.87992,             0.91206,             0.58387,            0.034637,           0.0082909,           0.0019348,           0.0077031,           0.0077031,           0.0077031
                 110,            0.032842,           0.0082369,           0.0020553,              0.9749,             0.87989,             0.91204,             0.58383,            0.034643,           0.0083138,           0.0019376,           0.0076651,           0.0076651,           0.0076651
                 111,            0.033162,           0.0083218,           0.0021215,             0.96987,             0.88316,             0.91209,             0.59139,            0.034637,           0.0082967,           0.0019335,           0.0076269,           0.0076269,           0.0076269
                 112,            0.033012,           0.0083023,           0.0020875,             0.97019,             0.88304,             0.91213,               0.583,            0.034631,           0.0083053,           0.0019279,           0.0075886,           0.0075886,           0.0075886
                 113,            0.033115,           0.0082938,           0.0020825,              0.9692,             0.88302,             0.91218,              0.5825,            0.034622,            0.008301,           0.0019234,           0.0075501,           0.0075501,           0.0075501
                 114,            0.033019,           0.0082685,           0.0020412,             0.96947,             0.88294,             0.91225,             0.58566,             0.03461,           0.0082777,           0.0019197,           0.0075114,           0.0075114,           0.0075114
                 115,            0.032857,           0.0082076,           0.0019947,             0.96975,             0.88297,             0.91223,             0.58605,            0.034609,           0.0082991,           0.0019201,           0.0074725,           0.0074725,           0.0074725
                 116,            0.032693,           0.0082355,           0.0020153,             0.97024,             0.88266,             0.91224,              0.5929,            0.034596,           0.0082789,            0.001917,           0.0074335,           0.0074335,           0.0074335
                 117,            0.032781,           0.0082474,           0.0020165,             0.97035,             0.88255,             0.91236,             0.59355,            0.034582,           0.0083007,           0.0019131,           0.0073943,           0.0073943,           0.0073943
                 118,            0.032245,            0.008155,           0.0019569,             0.97033,             0.88235,             0.91242,             0.59613,            0.034569,            0.008312,           0.0019106,            0.007355,            0.007355,            0.007355
                 119,            0.032203,           0.0081373,            0.001987,             0.97072,             0.88229,             0.91251,             0.59737,            0.034545,            0.008276,           0.0019061,           0.0073155,           0.0073155,           0.0073155
                 120,            0.032186,           0.0081538,           0.0019323,             0.97111,              0.8822,             0.91253,             0.60031,             0.03455,           0.0082909,           0.0019059,           0.0072758,           0.0072758,           0.0072758
                 121,            0.032373,           0.0081922,           0.0019615,             0.97132,             0.88212,             0.91246,             0.59926,            0.034553,           0.0082888,             0.00191,           0.0072361,           0.0072361,           0.0072361
                 122,            0.032207,           0.0081321,            0.001957,             0.97231,             0.88199,             0.91253,             0.60186,            0.034529,           0.0082867,           0.0019058,           0.0071962,           0.0071962,           0.0071962
                 123,            0.032256,           0.0081592,           0.0019386,             0.97173,             0.88196,             0.91273,              0.6014,            0.034516,           0.0082634,           0.0019052,           0.0071561,           0.0071561,           0.0071561
                 124,            0.032179,           0.0081496,           0.0018908,             0.98048,             0.87654,             0.91313,             0.60263,            0.034514,            0.008283,           0.0019051,            0.007116,            0.007116,            0.007116
                 125,            0.032454,           0.0082001,           0.0019724,             0.98191,             0.87577,             0.91322,              0.6018,              0.0345,            0.008299,           0.0019053,           0.0070757,           0.0070757,           0.0070757
                 126,            0.032192,           0.0080847,           0.0019493,             0.98287,             0.87583,             0.91314,             0.60311,            0.034483,           0.0082724,           0.0019091,           0.0070353,           0.0070353,           0.0070353
                 127,            0.031935,           0.0080632,           0.0018661,             0.98453,             0.87557,             0.91363,             0.60256,            0.034484,           0.0082631,           0.0019102,           0.0069948,           0.0069948,           0.0069948
